citizen_id,scheme_id,gold,pred_seed42,prob_seed42,pred_seed7,prob_seed7,pred_seed2025,prob_seed2025
CP-097,IW600-UK-GBR-015,0,0,0.0971,0,0.0271,0,0.0445
CP-030,IW600-MS-GJ-004,0,0,0.0196,0,0.0495,0,0.0284
CP-043,IW600-UK-GBR-054,0,0,0.0302,0,0.051,0,0.0527
CP-022,IW600-MS-CEN-002,1,1,0.9877,1,0.9921,1,0.9955
CP-096,IW600-MS-CEN-001,0,0,0.0592,0,0.0475,0,0.023
CP-038,IW600-MS-RJ-015,0,0,0.0603,0,0.0957,0,0.0264
CP-090,IW600-JS-CEN-015,0,0,0.0519,0,0.0336,0,0.2405
CP-065,IW600-US-USA-032,0,0,0.0255,0,0.0394,0,0.0148
CP-080,IW600-MS-CG-009,0,0,0.0296,0,0.0417,0,0.0297
CP-021,IW600-JS-CEN-006,1,0,0.0805,0,0.0245,0,0.0132
CP-011,IW600-US-USA-004,0,0,0.0234,0,0.0438,0,0.0374
CP-011,IW600-UK-GBR-057,0,0,0.0277,0,0.0401,0,0.0282
CP-081,IW600-MS-CEN-001,0,0,0.026,0,0.0548,0,0.0155
CP-091,IW600-MS-AR-019,0,0,0.0295,0,0.034,0,0.0188
CP-060,IW600-MS-BR-006,0,0,0.205,0,0.0414,0,0.0608
CP-086,IW600-MS-CEN-003,0,0,0.1442,1,0.5255,1,0.7529
CP-037,IW600-UK-GBR-038,0,0,0.0189,0,0.0222,0,0.0151
CP-091,IW600-MS-CEN-002,1,1,0.9867,1,0.9901,1,0.9885
CP-069,IW600-US-USA-001,0,0,0.035,0,0.1475,0,0.0393
CP-055,IW600-MS-CG-008,0,0,0.364,0,0.0869,0,0.0869
CP-093,IW600-MS-CEN-006,1,1,0.9562,1,0.9822,1,0.9577
CP-046,IW600-UK-GBR-004,0,0,0.0505,0,0.0146,0,0.0121
CP-081,IW600-JS-CEN-010,1,0,0.0674,0,0.0719,0,0.0165
CP-027,IW600-JS-CEN-004,1,1,0.9879,1,0.9883,1,0.9864
CP-039,IW600-JS-CEN-012,1,1,0.9934,1,0.9885,1,0.987
CP-013,IW600-MS-KL-009,0,0,0.221,0,0.3997,0,0.0904
CP-092,IW600-MS-AR-011,0,0,0.2831,0,0.1549,0,0.1773
CP-093,IW600-UK-GBR-057,0,0,0.0168,0,0.0402,0,0.0278
CP-029,IW600-JS-CEN-013,0,0,0.0803,0,0.0433,0,0.0321
CP-077,IW600-TN-TN-060,0,0,0.0238,0,0.0401,0,0.0323
CP-016,IW600-MS-KL-010,0,0,0.2826,0,0.2024,0,0.1353
CP-009,IW600-MS-CEN-005,0,0,0.0412,0,0.0436,0,0.0256
CP-035,IW600-JS-CEN-010,0,0,0.3116,0,0.3547,1,0.5281
CP-094,IW600-US-USA-014,0,0,0.02,0,0.0888,0,0.0143
CP-051,IW600-MS-BR-014,0,0,0.0287,0,0.0268,0,0.0511
CP-097,IW600-TN-TN-090,0,1,0.8173,0,0.1947,0,0.2295
CP-023,IW600-JS-CEN-012,1,1,0.9932,1,0.9863,1,0.9867
CP-044,IW600-MS-HR-020,0,0,0.028,0,0.1397,0,0.0142
CP-084,IW600-TN-TN-053,0,0,0.0645,0,0.0237,0,0.0192
CP-015,IW600-MS-KL-003,1,0,0.2145,0,0.1751,0,0.0384
CP-078,IW600-MS-CG-011,0,0,0.1049,0,0.1396,0,0.0545
CP-025,IW600-MS-GA-013,0,0,0.0709,0,0.033,0,0.0181
CP-091,IW600-MS-CEN-001,0,0,0.0265,0,0.0255,0,0.0249
CP-079,IW600-MS-CG-017,1,0,0.1954,1,0.7724,0,0.2341
CP-052,IW600-UK-GBR-013,0,0,0.024,0,0.0326,0,0.0219
CP-055,IW600-JS-CEN-004,1,1,0.9877,1,0.9872,1,0.989
CP-046,IW600-UK-GBR-026,0,0,0.0549,0,0.0216,0,0.0133
CP-084,IW600-MS-CEN-005,0,0,0.0379,0,0.1107,0,0.025
CP-046,IW600-UK-GBR-016,0,0,0.0612,0,0.026,0,0.0153
CP-072,IW600-MS-GJ-017,0,0,0.0318,0,0.2426,0,0.3142
CP-100,IW600-JS-CEN-013,0,0,0.0599,0,0.0423,0,0.0536
CP-095,IW600-JS-CEN-004,1,1,0.9818,1,0.9908,1,0.9839
CP-091,IW600-MS-AN-023,0,0,0.0235,0,0.0322,0,0.017
CP-023,IW600-UK-GBR-012,0,0,0.0192,0,0.0377,0,0.0227
CP-023,IW600-MS-AR-001,0,0,0.1412,0,0.1045,0,0.091
CP-087,IW600-MS-CEN-001,0,0,0.0245,0,0.0414,0,0.0192
CP-097,IW600-JS-CEN-011,0,1,0.8589,1,0.8188,1,0.9845
CP-074,IW600-JS-CEN-012,1,1,0.9942,1,0.9905,1,0.99
CP-023,IW600-MS-HR-013,0,0,0.0316,0,0.0554,0,0.0332
CP-063,IW600-TN-TN-044,0,1,0.5303,0,0.0456,0,0.0939
CP-055,IW600-UK-GBR-033,0,0,0.0331,0,0.0348,0,0.0664
CP-057,IW600-US-USA-049,0,0,0.1052,0,0.0376,0,0.0525
CP-024,IW600-MS-KL-001,0,0,0.0183,0,0.0315,0,0.0157
CP-055,IW600-MS-CEN-004,1,0,0.1683,1,0.7118,0,0.1567
CP-019,IW600-MS-AP-017,0,0,0.0762,0,0.1905,0,0.0919
CP-021,IW600-JS-CEN-010,1,0,0.3532,0,0.0919,0,0.0171
CP-097,IW600-US-USA-026,0,0,0.1128,0,0.0291,0,0.0582
CP-072,IW600-TN-TN-116,0,0,0.0264,0,0.1814,0,0.0751
CP-064,IW600-MS-BR-019,0,0,0.1537,0,0.0468,1,0.5258
CP-051,IW600-MS-MH-001,0,0,0.1836,0,0.1513,0,0.0558
CP-092,IW600-MS-AR-019,0,0,0.0565,0,0.0628,0,0.06
CP-036,IW600-MS-CEN-001,0,0,0.0218,0,0.0298,0,0.0366
CP-007,IW600-MS-MH-009,0,0,0.0286,0,0.0232,0,0.0129
CP-008,IW600-JS-CEN-010,0,0,0.0942,0,0.0993,0,0.239
CP-072,IW600-JS-CEN-001,1,1,0.9915,1,0.9825,1,0.952
CP-091,IW600-US-USA-009,0,0,0.0237,0,0.0277,0,0.0205
CP-085,IW600-MS-HP-002,0,0,0.0292,0,0.0235,0,0.0258
CP-086,IW600-US-USA-001,0,0,0.0199,0,0.0385,0,0.0445
CP-040,IW600-UK-GBR-058,0,0,0.0598,0,0.0378,0,0.0136
CP-020,IW600-UK-GBR-015,0,0,0.0162,0,0.0275,0,0.0141
CP-041,IW600-JS-CEN-012,1,1,0.9936,1,0.9889,1,0.9851
CP-023,IW600-MS-HP-008,0,0,0.029,0,0.0427,0,0.0255
