citizen_id,random_mrr,tfidf_mrr,bge_mrr
CP-001,0.6666666666666666,1.0,1.0
CP-002,0.5666666666666667,1.0,1.0
CP-004,1.0,1.0,0.5
CP-005,0.611111111111111,1.0,1.0
CP-006,0.6666666666666666,1.0,0.5
CP-007,0.7000000000000001,0.25,0.14285714285714285
CP-008,0.3611111111111111,1.0,1.0
CP-011,0.5555555555555555,1.0,0.5
CP-013,0.25,0.3333333333333333,0.3333333333333333
CP-014,0.7777777777777777,1.0,1.0
CP-015,0.38888888888888884,0.25,0.3333333333333333
CP-018,0.4444444444444444,1.0,0.5
CP-019,0.5,0.3333333333333333,0.25
CP-021,0.8333333333333334,0.5,0.3333333333333333
CP-022,0.5555555555555555,0.25,0.2
CP-023,0.17564102564102566,0.07692307692307693,0.07142857142857142
CP-024,0.5555555555555556,0.16666666666666666,0.14285714285714285
CP-025,0.6666666666666666,1.0,1.0
CP-026,0.4166666666666667,1.0,1.0
CP-027,0.5,1.0,1.0
CP-028,0.8333333333333334,0.5,0.5
CP-030,0.611111111111111,0.125,0.09090909090909091
CP-031,0.611111111111111,1.0,1.0
CP-032,0.4444444444444444,1.0,1.0
CP-033,0.8333333333333334,1.0,1.0
CP-034,0.6666666666666666,0.3333333333333333,0.3333333333333333
CP-035,0.5555555555555555,0.5,0.5
CP-036,0.25,0.5,0.5
CP-039,0.8333333333333334,0.5,0.5
CP-041,0.4444444444444444,0.3333333333333333,0.5
CP-045,0.611111111111111,1.0,1.0
CP-047,0.5277777777777778,0.25,0.3333333333333333
CP-048,0.15595238095238095,0.2,0.25
CP-049,0.8333333333333334,0.3333333333333333,0.5
CP-050,0.2888888888888889,0.2,0.2
CP-051,0.8333333333333334,0.2,0.2
CP-052,0.5277777777777778,1.0,1.0
CP-055,0.5555555555555556,1.0,1.0
CP-062,0.31666666666666665,0.3333333333333333,0.25
CP-063,0.18055555555555555,0.16666666666666666,0.16666666666666666
CP-064,0.5,0.5,0.5
CP-072,0.20833333333333334,0.5,0.25
CP-074,0.6666666666666666,1.0,0.5
CP-075,1.0,1.0,1.0
CP-078,0.8333333333333334,1.0,0.3333333333333333
CP-079,0.8333333333333334,1.0,0.5
CP-080,0.3,0.25,0.3333333333333333
CP-081,0.611111111111111,0.25,0.3333333333333333
CP-082,0.5,0.25,0.3333333333333333
CP-085,0.5555555555555555,0.2,0.2
CP-087,0.38888888888888884,0.3333333333333333,0.3333333333333333
CP-089,0.8333333333333334,1.0,0.5
CP-090,0.5555555555555555,0.3333333333333333,0.5
CP-091,0.3055555555555555,1.0,1.0
CP-092,0.5833333333333334,1.0,1.0
CP-093,0.6666666666666666,1.0,1.0
CP-094,0.4166666666666667,1.0,1.0
CP-096,0.3055555555555555,0.3333333333333333,0.3333333333333333
CP-097,0.8333333333333334,0.25,0.3333333333333333
CP-098,0.8333333333333334,1.0,1.0
CP-099,0.6666666666666666,1.0,1.0
CP-101,1.0,1.0,1.0
CP-102,1.0,1.0,1.0
CP-103,1.0,1.0,1.0
CP-105,1.0,1.0,1.0
CP-109,1.0,1.0,1.0
CP-110,1.0,1.0,1.0
