citizen_id,scheme_id,gold_label,tfidf_score
CP-097,IW600-UK-GBR-015,0,0.018385465441172744
CP-030,IW600-MS-GJ-004,0,0.010309979767497448
CP-043,IW600-UK-GBR-054,0,0.0034246163827259513
CP-022,IW600-MS-CEN-002,1,0.0
CP-096,IW600-MS-CEN-001,0,0.04443807247254966
CP-038,IW600-MS-RJ-015,0,0.03476149957009423
CP-090,IW600-JS-CEN-015,0,0.013496304031610295
CP-065,IW600-US-USA-032,0,0.013838747103906496
CP-080,IW600-MS-CG-009,0,0.03238087762068202
CP-021,IW600-JS-CEN-006,1,0.02272373630644451
CP-011,IW600-US-USA-004,0,0.011120794763698772
CP-011,IW600-UK-GBR-057,0,0.018661887484247304
CP-081,IW600-MS-CEN-001,0,0.035029662474586234
CP-091,IW600-MS-AR-019,0,0.045550740069762424
CP-060,IW600-MS-BR-006,0,0.026966610548441104
CP-086,IW600-MS-CEN-003,0,0.014613654125720448
CP-037,IW600-UK-GBR-038,0,0.007567624572741382
CP-091,IW600-MS-CEN-002,1,0.0
CP-069,IW600-US-USA-001,0,0.016453428020832654
CP-055,IW600-MS-CG-008,0,0.006551566087808533
CP-093,IW600-MS-CEN-006,1,0.044685961337165306
CP-046,IW600-UK-GBR-004,0,0.010409820651393415
CP-081,IW600-JS-CEN-010,1,0.015541970624725367
CP-027,IW600-JS-CEN-004,1,0.05110276278360871
CP-039,IW600-JS-CEN-012,1,0.0011642809507288459
CP-013,IW600-MS-KL-009,0,0.041585483899653976
CP-092,IW600-MS-AR-011,0,0.054569294479183156
CP-093,IW600-UK-GBR-057,0,0.03435999724844649
CP-029,IW600-JS-CEN-013,0,0.04821969492640052
CP-077,IW600-TN-TN-060,0,0.022250043622496773
CP-016,IW600-MS-KL-010,0,0.03823715565246171
CP-009,IW600-MS-CEN-005,0,0.004233913626883399
CP-035,IW600-JS-CEN-010,0,0.015811978723281002
CP-094,IW600-US-USA-014,0,0.012032842416165326
CP-051,IW600-MS-BR-014,0,0.0
CP-097,IW600-TN-TN-090,0,0.011072495673515849
CP-023,IW600-JS-CEN-012,1,0.0
CP-044,IW600-MS-HR-020,0,0.0
CP-084,IW600-TN-TN-053,0,0.10356616494985775
CP-015,IW600-MS-KL-003,1,0.027211119360507914
CP-078,IW600-MS-CG-011,0,0.03191179682739514
CP-025,IW600-MS-GA-013,0,0.0013923583131247447
CP-091,IW600-MS-CEN-001,0,0.03639097539569333
CP-079,IW600-MS-CG-017,1,0.03816169698426802
CP-052,IW600-UK-GBR-013,0,0.02959811106173312
CP-055,IW600-JS-CEN-004,1,0.07244775736419956
CP-046,IW600-UK-GBR-026,0,0.0
CP-084,IW600-MS-CEN-005,0,0.022189424658774916
CP-046,IW600-UK-GBR-016,0,0.0
CP-072,IW600-MS-GJ-017,0,0.0034150666359729475
CP-100,IW600-JS-CEN-013,0,0.03613115941627948
CP-095,IW600-JS-CEN-004,1,0.03013389476244541
CP-091,IW600-MS-AN-023,0,0.005996000195313649
CP-023,IW600-UK-GBR-012,0,0.0
CP-023,IW600-MS-AR-001,0,0.014198195481747737
CP-087,IW600-MS-CEN-001,0,0.022273817667051166
CP-097,IW600-JS-CEN-011,0,0.06116513636857526
CP-074,IW600-JS-CEN-012,1,0.0011263658376964765
CP-023,IW600-MS-HR-013,0,0.008657129380203361
CP-063,IW600-TN-TN-044,0,0.0
CP-055,IW600-UK-GBR-033,0,0.0028895700902370463
CP-057,IW600-US-USA-049,0,0.01727622647009807
CP-024,IW600-MS-KL-001,0,0.006418676269404125
CP-055,IW600-MS-CEN-004,1,0.013547692843572233
CP-019,IW600-MS-AP-017,0,0.06556892073124457
CP-021,IW600-JS-CEN-010,1,0.038718405543797504
CP-097,IW600-US-USA-026,0,0.001053950697410434
CP-072,IW600-TN-TN-116,0,0.0
CP-064,IW600-MS-BR-019,0,0.041438821525955336
CP-051,IW600-MS-MH-001,0,0.04191200413059201
CP-092,IW600-MS-AR-019,0,0.05747191808737094
CP-036,IW600-MS-CEN-001,0,0.02192845594849671
CP-007,IW600-MS-MH-009,0,0.07623329239651007
CP-008,IW600-JS-CEN-010,0,0.02588548459765015
CP-072,IW600-JS-CEN-001,1,0.01770025376412859
CP-091,IW600-US-USA-009,0,0.009570396686766135
CP-085,IW600-MS-HP-002,0,0.02914074401729174
CP-086,IW600-US-USA-001,0,0.018279433902303716
CP-040,IW600-UK-GBR-058,0,0.0051584082066718304
CP-020,IW600-UK-GBR-015,0,0.00926302684757082
CP-041,IW600-JS-CEN-012,1,0.0011383906611121934
CP-023,IW600-MS-HP-008,0,0.019811155770938293
CP-078,IW600-TN-TN-052,0,0.012610776381478617
CP-030,IW600-TN-TN-002,0,0.0017646661048611803
CP-090,IW600-MS-CEN-005,0,0.0057523185482541055
CP-043,IW600-MS-MH-019,0,0.018628019825790047
CP-021,IW600-MS-CEN-006,1,0.014011736571340902
CP-033,IW600-JS-CEN-004,1,0.04281972039067585
CP-080,IW600-JS-CEN-001,1,0.018948048382689382
CP-018,IW600-MS-KA-020,0,0.01928056033995082
CP-042,IW600-MS-CH-008,0,0.016556278117252105
CP-047,IW600-UK-GBR-054,0,0.0
CP-022,IW600-TN-TN-080,0,0.04066127060872168
CP-065,IW600-MS-DN-002,0,0.0
CP-062,IW600-JS-CEN-013,0,0.04305709440550728
CP-030,IW600-MS-GJ-016,0,0.009176990053655958
CP-084,IW600-JS-CEN-013,0,0.037910859007103115
CP-040,IW600-TN-TN-074,0,0.02410136849548132
CP-015,IW600-MS-KA-015,0,0.009816642294440465
CP-038,IW600-MS-CEN-001,0,0.04715639687615028
CP-024,IW600-JS-CEN-012,1,0.0
CP-063,IW600-TN-TN-115,0,0.0019929342433812934
CP-030,IW600-JS-CEN-009,0,0.02174180928474075
CP-015,IW600-MS-RJ-014,0,0.0019335961354248377
CP-001,IW600-TN-TN-055,1,0.04472290039273263
CP-097,IW600-JS-CEN-004,1,0.04699322467778436
CP-091,IW600-US-USA-024,0,0.018752026672766712
CP-064,IW600-MS-BR-012,1,0.02693741194671356
CP-058,IW600-TN-TN-130,0,0.020380042953534502
CP-087,IW600-MS-CEN-002,1,0.0
CP-061,IW600-MS-GJ-009,0,0.021791000419897504
CP-100,IW600-US-USA-045,0,0.0
CP-080,IW600-UK-GBR-010,0,0.010497287588631703
CP-007,IW600-MS-GJ-016,0,0.016054809213592904
CP-048,IW600-MS-GA-005,0,0.023683034339398328
CP-040,IW600-UK-GBR-032,0,0.028062102213014577
CP-002,IW600-MS-CG-017,0,0.0018286011217699255
CP-067,IW600-MS-CEN-001,0,0.021419734816600304
CP-074,IW600-MS-SK-001,0,0.000979685543497209
CP-002,IW600-TN-TN-094,1,0.03935157463683785
CP-055,IW600-MS-KL-015,0,0.035229158733469615
CP-030,IW600-MS-UP-004,0,0.10780474690938814
CP-032,IW600-TN-TN-086,0,0.021421152593887344
CP-016,IW600-MS-KL-002,0,0.029135769802289775
CP-091,IW600-MS-AR-007,1,0.06108460453629444
CP-050,IW600-JS-CEN-012,1,0.0
CP-036,IW600-UK-GBR-059,0,0.017618564256708075
CP-025,IW600-JS-CEN-014,1,0.0025354154404079766
CP-015,IW600-MS-CEN-003,1,0.03155789310115244
